NM number	Gene name	Gene Family	Category	Expression Value - stimulus	Expression Value + stimulus
NM_0001818	ACOX1	Fibroblast growth factor receptors (FGFR)	Transporters	0.621	0.609
NM_0005272	CANT1	Families containing homeobox domains	Regulatory protein gene families	0.366	0.382
NM_0009106	GAA	Ras family	Signal transducing proteins	0.425	0.411
NM_0003515	SGSH	Kinesin	Motor proteins	0.627	0.685
NM_0002247	PYCR1	DHH phosphatase family	Transporters	0.602	0.643
NM_0006660	SMCHD1	Ras family	Signal transducing proteins	0.79	0.842
NM_0007246	MYOM1	Heat shock proteins	Transporters	0.602	0.656
NM_0006831	TGIF1	Immunoglobulin superfamily	Immune system proteins	0.34	0.333
NM_0008955	NDUFV2	Glutamate transporter	Transporters	0.646	0.597
NM_0001843	MC2R	NOTCH2NL	Regulatory protein gene families	0.09	0.098
NM_0001937	GATA6	Arf family	Signal transducing proteins	0.268	0.256
NM_0002677	RBBP8	GABA transporter	Transporters	0.063	0.069
NM_0009626	NPC1	GATA transcription factor	Regulatory protein gene families	0.69	0.654
NM_0006802	DSC2	Antiporter	Transporters	0.43	0.397
NM_0006893	DSG2	Cyclin dependent kinases	Regulatory protein gene families	0.479	0.456
NM_0001580	TTR	Antiporter	Transporters	0.085	0.081
NM_0003033	SETBP1	Hox gene family	Regulatory protein gene families	0.711	0.648
NM_0007420	MYO5B	Major facilitator superfamily	Transporters	0.334	0.318
NM_0004786	SMAD4	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.321	0.303
NM_0004737	FECH	ABC transporters	Transporters	0.478	0.496
NM_0009899	ATP8B1	Ras family	Signal transducing proteins	0.488	0.535
NM_0009308	RAX	Cyclin dependent kinases	Regulatory protein gene families	0.928	0.955
NM_0007624	LMAN1	P300-CBP coactivator family	Regulatory protein gene families	0.247	0.237
NM_0007702	CCBE1	Transcription factors	Regulatory protein gene families	0.7	0.632
NM_0004575	MC4R	Nuclear receptor	Regulatory protein gene families	0.721	0.769
NM_0007742	TNFRSF11A	NF-kB	Regulatory protein gene families	0.559	0.569
NM_0007157	RTTN	Heat shock factor	Transporters	0.737	0.758
NM_0006464	ELANE	G-proteins	Signal transducing proteins	0.428	0.421
NM_0006831	KISS1R	Major facilitator superfamily	Transporters	0.657	0.647
NM_0009362	STK11	POU family	Regulatory protein gene families	0.025	0.026
NM_0003740	NDUFS7	Membrane-spanning 4A	Transporters	0.836	0.866
NM_0007188	GAMT	Globin	Transporters	0.089	0.082
NM_0008577	FUT6	14-3-3 protein family	Regulatory protein gene families	0.244	0.223
NM_0001824	INSR	Immunoglobulin superfamily	Immune system proteins	0.906	0.818
NM_0009912	STXBP2	Kinesin	Motor proteins	0.174	0.181
NM_0009369	DNMT1	ABC transporters	Transporters	0.192	0.187
NM_0009058	TYK2	Fibroblast growth factors (FGF)	Transporters	0.34	0.367
NM_0002755	DNM2	Rap family	Signal transducing proteins	0.637	0.665
NM_0002722	SMARCA4	Fibroblast growth factor receptors (FGFR)	Transporters	0.612	0.572
NM_0006702	LDLR	Transcription factors	Regulatory protein gene families	0.079	0.08
NM_0005105	EPOR	Membrane-spanning 4A	Transporters	0.524	0.499
NM_0007610	PRKCSH	Hox gene family	Regulatory protein gene families	0.162	0.158
NM_0006706	ACP5	Glutamate transporter	Transporters	0.627	0.658
NM_0003425	MAN2B1	Globin	Transporters	0.821	0.87
NM_0003853	RNASEH2A	Membrane-spanning 4A	Transporters	0.461	0.438
NM_0002971	KLF1	Janus kinases	Signal transducing proteins	0.53	0.549
NM_0001726	GCDH	Monoamine transporter	Transporters	0.801	0.858
NM_0007159	NOTCH3	Toll-like receptors	Immune system proteins	0.778	0.821
NM_0006372	CALR3	Rho family	Signal transducing proteins	0.383	0.352
NM_0009360	JAK3	Glycine transporter	Transporters	0.965	1.034
NM_0008525	IL12RB1	GABA transporter	Transporters	0.595	0.611
NM_0004576	PIK3R2	NF-kB	Regulatory protein gene families	0.582	0.603
NM_0008003	COMP	Peroxin	Transporters	0.843	0.871
NM_0008963	GDF1	Nuclear receptor	Regulatory protein gene families	0.727	0.753
NM_0002465	RFXANK	Fibroblast growth factor receptors (FGFR)	Transporters	0.482	0.49
NM_0008293	C19orf12	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.418	0.396
NM_0005242	SLC7A9	Major facilitator superfamily	Transporters	0.764	0.806
NM_0004556	PEPD	Nuclear receptor	Regulatory protein gene families	0.965	1.053
NM_0009024	SCN1B	GATA transcription factor	Regulatory protein gene families	0.34	0.325
NM_0002722	HPN	Cyclin dependent kinases	Regulatory protein gene families	0.08	0.086
NM_0007979	NPHS1	DHH phosphatase family	Transporters	0.274	0.282
NM_0004580	WDR62	Non-receptor tyrosine kinase	Signal transducing proteins	0.18	0.196
NM_0003399	RYR1	Nuclear receptor	Regulatory protein gene families	0.714	0.773
NM_0008449	SARS2	Receptor tyrosine kinases	Signal transducing proteins	0.838	0.822
NM_0003268	DLL3	Kinesin	Motor proteins	0.81	0.874
NM_0004007	PRX	SNARE family	Transporters	0.997	1.017
NM_0005395	LTBP4	14-3-3 protein family	Regulatory protein gene families	0.829	0.896
NM_0003381	B9D2	Fibroblast growth factors (FGF)	Transporters	0.138	0.143
NM_0009058	BCKDHA	Fibroblast growth factors (FGF)	Transporters	0.418	0.388
NM_0003113	ATP1A3	G-proteins	Signal transducing proteins	0.732	0.742
NM_0007774	ERCC2	Aquaporins	Transporters	0.947	1.025
NM_0007788	FKRP	Kinesin	Motor proteins	0.935	0.893
NM_0002386	CRX	Fibroblast growth factor receptors (FGFR)	Transporters	0.313	0.303
NM_0004761	CCDC114	14-3-3 protein family	Regulatory protein gene families	0.86	0.798
NM_0007658	GYS1	Cyclins	Regulatory protein gene families	0.227	0.213
NM_0003069	TRPM4	NOD-like receptors	Immune system proteins	0.888	0.946
NM_0006892	MED25	Monoamine transporter	Transporters	0.147	0.143
NM_0007537	PNKP	Janus kinases	Signal transducing proteins	0.185	0.167
NM_0001272	MYH14	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.366	0.39
NM_0001176	KCNC3	Pattern recognition receptor	Immune system proteins	0.88	0.893
NM_0002063	POLD1	Families containing homeobox domains	Regulatory protein gene families	0.88	0.95
NM_0002361	PPP2R1A	Leukocyte immunoglobulin-like receptors	Immune system proteins	0.842	0.859
NM_0002039	NLRP12	Nuclear receptor	Regulatory protein gene families	0.746	0.759
NM_0009409	NLRP7	Antiporter	Transporters	0.691	0.678
NM_0002909	TNNI3	General transcription factor	Regulatory protein gene families	0.278	0.29
NM_0003969	SLC52A3	Peroxin	Transporters	0.115	0.121
NM_0005670	PANK2	GATA transcription factor	Regulatory protein gene families	0.306	0.284
NM_0002636	PRNP	MAP Kinase	Signal transducing proteins	0.242	0.257
NM_0008358	PROKR2	Aquaporins	Transporters	0.395	0.369
NM_0007973	FERMT1	CDK inhibitors	Regulatory protein gene families	0.337	0.326
NM_0005118	BMP2	Cyclin dependent kinases	Regulatory protein gene families	0.016	0.015
NM_0005561	MKKS	Pattern recognition receptor	Immune system proteins	0.673	0.664
NM_0004428	JAG1	P300-CBP coactivator family	Regulatory protein gene families	0.026	0.027
NM_0006981	SEC23B	14-3-3 protein family	Regulatory protein gene families	0.32	0.342
NM_0008858	THBD	Ion channels	Transporters	0.195	0.205
NM_0004686	VSX1	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.217	0.212
NM_0009316	COX4I2	Rap family	Signal transducing proteins	0.265	0.239
NM_0002717	MYLK2	Membrane-spanning 4A	Transporters	0.613	0.637
NM_0003106	SNTA1	SNARE family	Transporters	0.667	0.645
NM_0009033	SAMHD1	DHH phosphatase family	Transporters	0.242	0.251
NM_0001277	JPH2	Rap family	Signal transducing proteins	0.054	0.05
NM_0003672	HNF4A	SOX gene family	Regulatory protein gene families	0.956	1.041
NM_0002019	ADA	Families containing homeobox domains	Regulatory protein gene families	0.535	0.543
NM_0006355	MMP9	Equilibrative nucleoside transporter family	Transporters	0.296	0.305
NM_0007306	CD40	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.914	0.825
NM_0009804	SLC2A10	Cyclin dependent kinases	Regulatory protein gene families	0.217	0.204
NM_0006505	ARFGEF2	Membrane-spanning 4A	Transporters	0.643	0.583
NM_0001463	SALL4	14-3-3 protein family	Regulatory protein gene families	0.42	0.447
NM_0002646	EDN3	Kinesin	Motor proteins	0.133	0.145
NM_0004753	COL9A3	14-3-3 protein family	Regulatory protein gene families	0.132	0.129
NM_0007170	CHRNA4	ATCase/OTCase family	Transporters	0.332	0.344
NM_0003493	KCNQ2	SNARE family	Transporters	0.303	0.317
NM_0002995	APP	Major histocompatibility complex (MHC)	Immune system proteins	0.761	0.72
NM_0003052	SOD1	Receptor tyrosine kinases	Signal transducing proteins	0.692	0.7
NM_0005489	IL10RB	Hox gene family	Regulatory protein gene families	0.479	0.486
NM_0006113	IFNGR2	Major facilitator superfamily	Transporters	0.334	0.354
NM_0008039	KCNE2	Rap family	Signal transducing proteins	0.105	0.1
NM_0006677	KCNE1	General transcription factor	Regulatory protein gene families	0.154	0.162
NM_0002345	CLDN14	Rap family	Signal transducing proteins	0.646	0.583
NM_0003502	HLCS	Antiporter	Transporters	0.49	0.466
NM_0004047	DYRK1A	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.04	0.042
NM_0008364	TMPRSS3	Papain-like protease	Transporters	0.599	0.626
NM_0004420	CBS	Non-receptor tyrosine kinase	Signal transducing proteins	0.329	0.359
NM_0004419	AIRE	DLX gene family	Regulatory protein gene families	0.55	0.506
NM_0005435	COL6A1	Peroxin	Transporters	0.243	0.257
NM_0007491	COL6A2	Serine/threonine-specific protein kinase	Signal transducing proteins	0.952	0.934
NM_0002733	PCNT	FH2 protein (formin) gene family	Transporters	0.531	0.548
NM_0008558	IL17RA	14-3-3 protein family	Regulatory protein gene families	0.244	0.233
NM_0004344	PEX26	G-proteins	Signal transducing proteins	0.57	0.549
NM_0002063	TUBA8	Fibroblast growth factor receptors (FGFR)	Transporters	0.25	0.255
NM_0001420	TBX1	Neurotransmitter transporter	Transporters	0.531	0.537
NM_0003421	TXNRD2	Rap family	Signal transducing proteins	0.478	0.501
NM_0008039	TANGO2	Receptor tyrosine kinases	Signal transducing proteins	0.082	0.083
NM_0002751	CHCHD10	Non-receptor tyrosine kinase	Signal transducing proteins	0.632	0.595
NM_0002446	UPB1	Glycine transporter	Transporters	0.646	0.665
NM_0005423	CRYBB3	Olfactory receptor	Signal transducing proteins	0.051	0.048
NM_0002238	CRYBB2	Membrane-spanning 4A	Transporters	0.738	0.781
NM_0008476	HPS4	DHH phosphatase family	Transporters	0.1	0.106
NM_0001615	CRYBA4	SRC kinase family	Signal transducing proteins	0.807	0.86
NM_0003928	CHEK2	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.608	0.617
NM_0009600	NF2	Rap family	Signal transducing proteins	0.573	0.621
NM_0009859	TCN2	Glycine transporter	Transporters	0.478	0.497
NM_0003810	MORC2	Achaete-scute complex (neuroblast formation)	Regulatory protein gene families	0.765	0.742
NM_0001970	DEPDC5	Janus kinases	Signal transducing proteins	0.19	0.2
NM_0002493	SLC5A1	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.988	1.015
NM_0006081	FBXO7	Rab family	Signal transducing proteins	0.535	0.562
NM_0004497	LARGE1	Glycine transporter	Transporters	0.718	0.748
NM_0005437	MYH9	Equilibrative nucleoside transporter family	Transporters	0.653	0.673
NM_0009567	TMPRSS6	NF-kB	Regulatory protein gene families	0.636	0.612
NM_0006242	TRIOBP	Neurotransmitter transporter	Transporters	0.948	1.012
NM_0001508	PLA2G6	SRC kinase family	Signal transducing proteins	0.854	0.817
NM_0009530	ADSL	Ion channels	Transporters	0.716	0.697
NM_0002483	EP300	Papain-like protease	Transporters	0.73	0.673
NM_0006571	ACO2	SRC kinase family	Signal transducing proteins	0.956	0.937
NM_0005446	NAGA	SNARE family	Transporters	0.739	0.699
NM_0001509	CYB5R3	NOD-like receptors	Immune system proteins	0.323	0.296
NM_0004376	TRMU	CDK inhibitors	Regulatory protein gene families	0.192	0.177
NM_0003865	ALG12	SNARE family	Transporters	0.417	0.386
NM_0004627	MLC1	Ion channels	Transporters	0.468	0.457
NM_0005471	SCO2	Rab family	Signal transducing proteins	0.767	0.744
NM_0005054	TYMP	DHH phosphatase family	Transporters	0.816	0.78
NM_0001090	ARSE	Receptor tyrosine kinases	Signal transducing proteins	0.54	0.5
NM_0005836	KAL1	Peroxiredoxin	Signal transducing proteins	0.762	0.791
NM_0004605	GPR143	Expansin gene family	Transporters	0.773	0.838
NM_0007917	FANCB	Peroxiredoxin	Signal transducing proteins	0.649	0.637
NM_0003282	CDKL5	Neurotransmitter transporter	Transporters	0.869	0.818
NM_0003423	RS1	Kinesin	Motor proteins	0.895	0.838
NM_0004189	PHKA2	Antiporter	Transporters	0.112	0.102
NM_0006358	PDHA1	SRC kinase family	Signal transducing proteins	0.907	0.985
NM_0005567	RPS6KA3	Peroxin	Transporters	0.745	0.755
NM_0002570	MBTPS2	General transcription factor	Regulatory protein gene families	0.1	0.11
NM_0008620	SMS	Rab family	Signal transducing proteins	0.017	0.017
NM_0006589	PHEX	Fibroblast growth factor receptors (FGFR)	Transporters	0.157	0.167
NM_0007633	CYBB	NF-kB	Regulatory protein gene families	0.842	0.913
NM_0008462	RPGR	Heat shock proteins	Transporters	0.495	0.513
NM_0005583	OTC	Glutamate transporter	Transporters	0.851	0.771
NM_0006671	ATP6AP2	Rho family	Signal transducing proteins	0.571	0.602
NM_0003452	NDP	Bacterial potassium transporter	Transporters	0.958	0.909
NM_0008457	KDM6A	SNARE family	Transporters	0.192	0.177
NM_0008283	RP2	Expansin gene family	Transporters	0.444	0.463
NM_0008460	UBA1	Cyclin dependent kinases	Regulatory protein gene families	0.864	0.847
NM_0002778	ZNF81	SRC kinase family	Signal transducing proteins	0.437	0.426
NM_0004076	WAS	Ion channels	Transporters	0.494	0.48
NM_0005773	CACNA1F	Bacterial potassium transporter	Transporters	0.334	0.353
NM_0006729	CCDC22	Rab family	Signal transducing proteins	0.863	0.886
NM_0005165	SHROOM4	Pattern recognition receptor	Immune system proteins	0.896	0.866
NM_0008046	BMP15	SNARE family	Transporters	0.491	0.484
NM_0008311	SMC1A	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.525	0.511
NM_0002542	FGD1	Monoamine transporter	Transporters	0.998	0.919
NM_0004467	ALAS2	Major histocompatibility complex (MHC)	Immune system proteins	0.161	0.174
NM_0007489	AR	Transcription factors	Regulatory protein gene families	0.197	0.185
NM_0004977	OPHN1	Solute carrier family	Transporters	0.952	0.867
NM_0002556	EDA	GABA transporter	Transporters	0.345	0.33
NM_0002921	IL2RG	Bacterial potassium transporter	Transporters	0.486	0.449
NM_0003366	GJB1	MAP Kinase	Signal transducing proteins	0.216	0.201
NM_0005845	HDAC8	NF-kB	Regulatory protein gene families	0.992	1.004
NM_0007834	SLC16A2	Major facilitator superfamily	Transporters	0.552	0.569
NM_0005477	PCDH19	MADS-box gene family	Regulatory protein gene families	0.711	0.699
NM_0007861	SRPX2	Serine/threonine-specific protein kinase	Signal transducing proteins	0.299	0.305
NM_0003344	GLA	Membrane-spanning 4A	Transporters	0.157	0.15
NM_0009784	HNRNPH2	Serine/threonine-specific protein kinase	Signal transducing proteins	0.039	0.042
NM_0006823	SERPINA7	ATCase/OTCase family	Transporters	0.827	0.868
NM_0009489	PRPS1	Equilibrative nucleoside transporter family	Transporters	0.122	0.116
NM_0007773	COL4A5	Kinesin	Motor proteins	0.111	0.104
NM_0008316	DCX	Peroxiredoxin	Signal transducing proteins	0.961	0.869
NM_0006979	AGTR2	Protocadherin gene family	Transporters	0.402	0.434
NM_0006752	NDUFA1	Monoamine transporter	Transporters	0.19	0.187
NM_0001274	XIAP	Families containing homeobox domains	Regulatory protein gene families	0.439	0.417
NM_0001276	OCRL	GATA transcription factor	Regulatory protein gene families	0.999	0.977
NM_0005239	FRMD7	Pattern recognition receptor	Immune system proteins	0.115	0.113
NM_0001290	GPC3	Ion channels	Transporters	0.967	1.05
NM_0002340	CD40LG	Arf family	Signal transducing proteins	0.514	0.5
NM_0009084	ZIC3	Rab family	Signal transducing proteins	0.42	0.449
NM_0003541	F9	DHH phosphatase family	Transporters	0.455	0.419
NM_0009677	SOX3	Families containing homeobox domains	Regulatory protein gene families	0.161	0.158
NM_0008209	IDS	Globin	Transporters	0.045	0.042
NM_0004327	MTM1	Cyclins	Regulatory protein gene families	0.505	0.472
NM_0007907	SLC6A8	Ion channels	Transporters	0.666	0.693
NM_0006374	ABCD1	Globin	Transporters	0.781	0.812
NM_0008206	L1CAM	MADS-box gene family	Regulatory protein gene families	0.923	0.908
NM_0002609	AVPR2	Cyclin dependent kinases	Regulatory protein gene families	0.327	0.358
NM_0002685	HCFC1	Antiporter	Transporters	0.207	0.216
NM_0009820	MECP2	Receptor tyrosine kinases	Signal transducing proteins	0.468	0.434
NM_0002586	FLNA	Rap family	Signal transducing proteins	0.472	0.43
NM_0009060	EMD	CDK inhibitors	Regulatory protein gene families	0.004	0.004
NM_0002807	TAZ	14-3-3 protein family	Regulatory protein gene families	0.58	0.554
NM_0006227	F8	Achaete-scute complex (neuroblast formation)	Regulatory protein gene families	0.967	1.041
NM_0003240	AGRN	Ras family	Signal transducing proteins	0.105	0.102
NM_0003736	ATAD3A	Myosin	Motor proteins	0.607	0.552
NM_0004803	GABRD	Toll-like receptors	Immune system proteins	0.191	0.208
NM_0004017	PEX10	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.199	0.208
NM_0004355	ESPN	Hox gene family	Regulatory protein gene families	0.946	0.875
NM_0008077	PLEKHG5	Cyclins	Regulatory protein gene families	0.859	0.887
NM_0003513	PARK7	NF-kB	Regulatory protein gene families	0.717	0.651
NM_0006601	KIF1B	Ras family	Signal transducing proteins	0.64	0.577
NM_0007605	MTOR	Heat shock factor	Transporters	0.918	1.005
NM_0003537	NPPA	Monoamine transporter	Transporters	0.786	0.769
NM_0005326	CLCNKB	Glutamate transporter	Transporters	0.713	0.649
NM_0006408	DDOST	Hox gene family	Regulatory protein gene families	0.068	0.072
NM_0002372	ECE1	ATCase/OTCase family	Transporters	0.284	0.288
NM_0003530	KDM1A	Expansin gene family	Transporters	0.002	0.002
NM_0007082	RPL11	RIG-I like receptors	Immune system proteins	0.817	0.78
NM_0008999	HMGCL	Monoamine transporter	Transporters	0.821	0.886
NM_0001459	ARID1A	DHH phosphatase family	Transporters	0.221	0.227
NM_0001219	AHDC1	Equilibrative nucleoside transporter family	Transporters	0.354	0.326
NM_0006560	YARS	Major facilitator superfamily	Transporters	0.867	0.82
NM_0008023	CAP1	SRC kinase family	Signal transducing proteins	0.929	0.892
NM_0004792	ZMPSTE24	Rho family	Signal transducing proteins	0.484	0.438
NM_0009385	LEPRE1	Peroxiredoxin	Signal transducing proteins	0.28	0.292
NM_0003942	SZT2	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.157	0.17
NM_0009711	ST3GAL3	Achaete-scute complex (neuroblast formation)	Regulatory protein gene families	0.798	0.84
NM_0003098	PTCH2	POU family	Regulatory protein gene families	0.878	0.837
NM_0005775	EIF2B3	Heat shock proteins	Transporters	0.261	0.278
NM_0002531	UROD	Cyclins	Regulatory protein gene families	0.176	0.18
NM_0002639	TOE1	Rap family	Signal transducing proteins	0.326	0.351
NM_0009648	FOXE3	Neurotransmitter transporter	Transporters	0.969	0.992
NM_0004934	DHCR24	Heat shock proteins	Transporters	0.678	0.657
NM_0005380	C8B	Cyclin dependent kinases	Regulatory protein gene families	0.515	0.545
NM_0001201	DOCK7	Ion channels	Transporters	0.072	0.077
NM_0002854	ALG6	Toll-like receptors	Immune system proteins	0.654	0.628
NM_0001344	SLC35D1	Ras family	Signal transducing proteins	0.357	0.361
NM_0004655	GLMN	Monoamine transporter	Transporters	0.138	0.141
NM_0007504	ALG14	GABA transporter	Transporters	0.849	0.929
NM_0002964	DBT	Rap family	Signal transducing proteins	0.041	0.038
NM_0001599	GPSM2	Immunoglobulin superfamily	Immune system proteins	0.389	0.411
NM_0001162	AMPD2	Monoamine transporter	Transporters	0.509	0.466
NM_0002730	AP4B1	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.776	0.712
NM_0002675	VANGL1	Cyclin dependent kinases	Regulatory protein gene families	0.344	0.334
NM_0004791	PHGDH	Peroxiredoxin	Signal transducing proteins	0.7	0.692
NM_0009211	NOTCH2	Fibroblast growth factor receptors (FGFR)	Transporters	0.288	0.281
NM_0007643	GJA5	Heat shock proteins	Transporters	0.59	0.575
NM_0009314	SF3B4	SRC kinase family	Signal transducing proteins	0.683	0.675
NM_0009896	VPS45	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.362	0.35
NM_0007079	TARS2	MAP Kinase	Signal transducing proteins	0.853	0.918
NM_0009303	CTSK	NOTCH2NL	Regulatory protein gene families	0.441	0.448
NM_0005792	PRUNE	Families containing homeobox domains	Regulatory protein gene families	0.393	0.363
NM_0002600	POGZ	Fibroblast growth factors (FGF)	Transporters	0.198	0.215
NM_0002288	FLG	SRC kinase family	Signal transducing proteins	0.833	0.891
NM_0007723	GATAD2B	Fibroblast growth factor receptors (FGFR)	Transporters	0.358	0.327
NM_0008159	DPM3	Transcription factors	Regulatory protein gene families	0.98	0.955
NM_0004375	PIGM	Protocadherin gene family	Transporters	0.574	0.524
NM_0008510	ATP1A2	Kinesin	Motor proteins	0.662	0.627
NM_0008918	PEX19	Cyclins	Regulatory protein gene families	0.671	0.687
NM_0001099	NDUFS2	Major histocompatibility complex (MHC)	Immune system proteins	0.12	0.123
NM_0007716	SDHC	Glutamate transporter	Transporters	0.324	0.321
NM_0009873	DDR2	General transcription factor	Regulatory protein gene families	0.891	0.842
NM_0009166	GPR161	Equilibrative nucleoside transporter family	Transporters	0.624	0.594
NM_0002872	TBX19	Monoamine transporter	Transporters	0.027	0.029
NM_0006209	SLC19A2	CDK inhibitors	Regulatory protein gene families	0.218	0.232
NM_0001816	FASLG	NOTCH2NL	Regulatory protein gene families	0.196	0.178
NM_0006423	TOR1AIP1	CDK inhibitors	Regulatory protein gene families	0.377	0.404
NM_0002501	CDC73	Kinesin	Motor proteins	0.61	0.655
NM_0004225	CFH	General transcription factor	Regulatory protein gene families	0.844	0.888
NM_0003039	CFHR5	DHH phosphatase family	Transporters	0.472	0.454
NM_0006170	PTPRC	SNARE family	Transporters	0.198	0.213
NM_0008268	PKP1	Receptor tyrosine kinases	Signal transducing proteins	0.707	0.68
NM_0006095	CHIT1	Neurotransmitter transporter	Transporters	0.406	0.387
NM_0001768	REN	CDK inhibitors	Regulatory protein gene families	0.4	0.432
NM_0009117	CNTN2	DLX gene family	Regulatory protein gene families	0.265	0.289
NM_0003891	CR2	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.655	0.636
NM_0003311	KCNH1	Myosin	Motor proteins	0.852	0.775
NM_0009801	RD3	GATA transcription factor	Regulatory protein gene families	0.039	0.04
NM_0002339	IBA57	Heat shock factor	Transporters	0.785	0.72
NM_0003477	ACTA1	Nuclear receptor	Regulatory protein gene families	0.746	0.801
NM_0005853	B3GALNT2	Bacterial potassium transporter	Transporters	0.332	0.328
NM_0003619	FMN2	Bacterial potassium transporter	Transporters	0.471	0.463
NM_0007902	COX20	Glycine transporter	Transporters	0.068	0.071
NM_0002304	HNRNPU	Glutamate transporter	Transporters	0.201	0.214
NM_0007125	ZMYND11	Rho family	Signal transducing proteins	0.727	0.744
NM_0001575	IL2RA	Leukocyte immunoglobulin-like receptors	Immune system proteins	0.602	0.645
NM_0008109	GATA3	Major facilitator superfamily	Transporters	0.506	0.46
NM_0007951	OPTN	Kinesin	Motor proteins	0.963	1.039
NM_0009826	CACNB2	Glycine transporter	Transporters	0.088	0.093
NM_0004051	PTF1A	Transcription factors	Regulatory protein gene families	0.724	0.791
NM_0001219	PDSS1	NOD-like receptors	Immune system proteins	0.88	0.823
NM_0007192	ANKRD26	Rap family	Signal transducing proteins	0.248	0.238
NM_0005351	ARMC4	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.675	0.695
NM_0004782	GDF2	SOX gene family	Regulatory protein gene families	0.458	0.502
NM_0004376	ANK3	Rab family	Signal transducing proteins	0.313	0.302
NM_0001866	CTNNA3	Papain-like protease	Transporters	0.088	0.091
NM_0008233	DNA2	Pattern recognition receptor	Immune system proteins	0.276	0.269
NM_0003841	HK1	Rho family	Signal transducing proteins	0.279	0.271
NM_0003923	NEUROG3	Peroxiredoxin	Signal transducing proteins	0.663	0.72
NM_0001546	PCBD1	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.13	0.118
NM_0008641	CDH23	Nuclear receptor	Regulatory protein gene families	0.824	0.871
NM_0008017	PSAP	Receptor tyrosine kinases	Signal transducing proteins	0.418	0.452
NM_0002286	MRPS16	ABC transporters	Transporters	0.431	0.399
NM_0006315	PLAU	NF-kB	Regulatory protein gene families	0.679	0.714
NM_0009504	C10orf11	Glycine transporter	Transporters	0.405	0.401
NM_0003762	KCNMA1	SRC kinase family	Signal transducing proteins	0.253	0.247
NM_0006660	POLR3A	Bacterial potassium transporter	Transporters	0.094	0.103
NM_0008700	RPS24	Glycine transporter	Transporters	0.352	0.344
NM_0008435	MAT1A	Ras family	Signal transducing proteins	0.627	0.664
NM_0002798	RGR	Peroxiredoxin	Signal transducing proteins	0.079	0.073
NM_0006192	KLLN	FH2 protein (formin) gene family	Transporters	0.991	1.061
NM_0002513	STAMBPL1	General transcription factor	Regulatory protein gene families	0.41	0.415
NM_0009274	KIF11	Myosin	Motor proteins	0.703	0.737
NM_0003224	LGI1	Dynein	Motor proteins	0.515	0.51
NM_0005739	TCTN3	Monoamine transporter	Transporters	0.554	0.517
NM_0009687	ENTPD1	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.108	0.118
NM_0001585	BLNK	SOX gene family	Regulatory protein gene families	0.615	0.658
NM_0009869	HOGA1	RIG-I like receptors	Immune system proteins	0.815	0.773
NM_0003023	COX15	Roundabout family	Transporters	0.147	0.14
NM_0008122	PAX2	Ion channels	Transporters	0.093	0.101
NM_0004078	PDZD7	Aquaporins	Transporters	0.63	0.574
NM_0004749	FBXW4	Membrane-spanning 4A	Transporters	0.316	0.327
NM_0003449	HPS6	Protocadherin gene family	Transporters	0.977	0.952
NM_0002770	PITX3	Glutamate transporter	Transporters	0.931	0.975
NM_0005807	NFKB2	Transcription factors	Regulatory protein gene families	0.09	0.085
NM_0008532	SMC3	RIG-I like receptors	Immune system proteins	0.714	0.65
NM_0007931	RBM20	Papain-like protease	Transporters	0.405	0.438
NM_0001407	SHOC2	Toll-like receptors	Immune system proteins	0.885	0.947
NM_0009344	VAX1	Arf family	Signal transducing proteins	0.067	0.066
NM_0003032	EMX2	Heat shock factor	Transporters	0.792	0.777
NM_0005101	ACADSB	ABC transporters	Transporters	0.793	0.827
NM_0002403	EBF3	Expansin gene family	Transporters	0.061	0.06
NM_0001183	ECHS1	NOD-like receptors	Immune system proteins	0.446	0.408
NM_0003731	TALDO1	GABA transporter	Transporters	0.728	0.656
NM_0003203	SLC25A22	Ion channels	Transporters	0.941	0.929
NM_0005713	MUC5B	Serine/threonine-specific protein kinase	Signal transducing proteins	0.446	0.481
NM_0001648	TNNT3	Leukocyte immunoglobulin-like receptors	Immune system proteins	0.188	0.174
NM_0009403	INS	DHH phosphatase family	Transporters	0.44	0.453
NM_0003229	INS-IGF2	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.674	0.617
NM_0003338	CDKN1C	Kinesin	Motor proteins	0.112	0.102
NM_0003570	SMPD1	Papain-like protease	Transporters	0.975	0.915
